week,game_date_local,kickoff_local,team_1,team_2,team_1_spread,team_2_spread,total,source,captured_at_local,line_status
3,2026-09-17,18:30,Syracuse,Pittsburgh,10.5,-10.5,51.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-18,18:30,Miami (FL),Wake Forest,-20.5,20.5,55.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-18,19:00,Houston,Texas Tech,7.5,-7.5,52.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,10:30,Coastal Carolina,Delaware,4.5,-4.5,57.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,11:00,North Texas,Texas State,2.5,-2.5,63.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,11:00,Georgia,Arkansas,-25.5,25.5,54.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,11:00,Tulane,Kansas State,20.5,-20.5,49.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,11:00,Akron,Minnesota,23.5,-23.5,49.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,11:00,North Carolina,Clemson,3.5,-3.5,43.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,11:00,Kent State,Ohio State,52.5,-52.5,59.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,11:00,Bowling Green,Iowa State,23.5,-23.5,44.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,11:00,Arizona State,Kansas,-5.5,5.5,50.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,11:00,Buffalo,Penn State,40.5,-40.5,49.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,11:30,Eastern Michigan,Wisconsin,24.5,-24.5,45.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,11:45,NC State,Vanderbilt,3.5,-3.5,50.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,12:00,Wyoming,Central Michigan,1.5,-1.5,39.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,14:00,Temple,Toledo,5.5,-5.5,50.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,14:30,Florida State,Alabama,19.5,-19.5,48.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,14:30,Miami (OH),Cincinnati,14.5,-14.5,50.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,14:30,UTEP,Michigan,35.5,-35.5,49.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,14:30,Kentucky,Texas A&M,16.5,-16.5,50.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,14:30,Utah State,Utah,27.5,-27.5,56.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,14:30,USC,Rutgers,-23.5,23.5,59.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,14:30,SMU,Louisville,2.5,-2.5,59.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,15:00,Western Kentucky,Indiana,44.5,-44.5,60.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,15:00,Stanford,Duke,9.5,-9.5,51.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,15:00,Louisiana Tech,Baylor,18.5,-18.5,52.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,15:00,Ball State,Liberty,14.5,-14.5,49.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,15:15,Mississippi State,South Carolina,3.5,-3.5,58.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,17:00,Charlotte,Appalachian State,17.5,-17.5,51.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,17:00,East Carolina,Old Dominion,2.5,-2.5,49.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,17:00,Florida International,Florida Atlantic,6.5,-6.5,62.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,17:30,Marshall,Missouri State,-3.5,3.5,52.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,18:00,Ohio,South Alabama,5.5,-5.5,51.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,18:00,Western Michigan,Rice,-9.5,9.5,43.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,18:00,Troy,Missouri,26.5,-26.5,50.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,18:00,UConn,Southern Miss,-3.5,3.5,54.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,18:00,Nevada,Middle Tennessee,-3.5,3.5,51.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
3,2026-09-19,18:00,Georgia Southern,Jacksonville State,3.5,-3.5,52.5,SplashSports screenshot supplied in chat,2026-09-16T16:57:00-05:00,PROVISIONAL_UNTIL_IMPORT_LOCK
