candidate,current_weight,season,week,game_id,away_team,home_team,home_current_offense_epa,home_current_defense_epa,away_current_offense_epa,away_current_defense_epa,home_offensive_plays,home_defensive_plays,away_offensive_plays,away_defensive_plays,feature_x,feature_z,training_feature_mean,training_feature_sd,intercept,coefficient,projected_home_margin,actual_home_margin,prediction_error,absolute_error,opening_home_spread,selected_side,ats_result,home_prior_fallback,away_prior_fallback,home_prior_opponent_type,away_prior_opponent_type,prior_opponent_bucket
current_production,,2020,3,401207120,SMU,North Texas,0.6631321611677116,0.2131894640568066,0.2033513062075542,0.13835481856271636,,,,,0.3849462094660671,1.4719881868938645,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,20.759227556769932,-30.0,50.75922755676993,50.75922755676993,,,,current_production,current_production,unknown,FBS,unknown
fixed_prior_25_75,0.25,2020,3,401207120,SMU,North Texas,0.6631321611677116,0.2131894640568066,0.2033513062075542,0.13835481856271636,,,,,0.0047381404401934946,0.033474259573431045,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,4.660538571307942,-30.0,34.66053857130794,34.66053857130794,,,,fixed_prior_blend,fixed_prior_blend,unknown,FBS,unknown
fixed_prior_50_50,0.5,2020,3,401207120,SMU,North Texas,0.6631321611677116,0.2131894640568066,0.2033513062075542,0.13835481856271636,,,,,0.13147416344881796,0.5129789020135753,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,10.026768233128603,-30.0,40.02676823312861,40.02676823312861,,,,fixed_prior_blend,fixed_prior_blend,unknown,FBS,unknown
fixed_prior_75_25,0.75,2020,3,401207120,SMU,North Texas,0.6631321611677116,0.2131894640568066,0.2033513062075542,0.13835481856271636,,,,,0.25821018645744254,0.9924835444537199,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,15.392997894949268,-30.0,45.39299789494927,45.39299789494927,,,,fixed_prior_blend,fixed_prior_blend,unknown,FBS,unknown
current_production,,2020,3,401212522,Navy,Tulane,0.07890309140753078,0.1322985468664005,-0.32870932140801035,0.5463460597879173,,,,,0.8216599257370579,3.1242907398545,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,39.25046660896779,-3.0,42.25046660896779,42.25046660896779,,,,current_production,current_production,FBS,FBS,FBS
fixed_prior_25_75,0.25,2020,3,401212522,Navy,Tulane,0.07890309140753078,0.1322985468664005,-0.32870932140801035,0.5463460597879173,,,,,0.060624697664193955,0.24492056349509816,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,7.026875260380635,-3.0,10.026875260380635,10.026875260380635,,,,fixed_prior_blend,fixed_prior_blend,FBS,FBS,FBS
fixed_prior_50_50,0.5,2020,3,401212522,Navy,Tulane,0.07890309140753078,0.1322985468664005,-0.32870932140801035,0.5463460597879173,,,,,0.3143031070218153,1.2047106222815656,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,17.768072376576356,-3.0,20.768072376576356,20.768072376576356,,,,fixed_prior_blend,fixed_prior_blend,FBS,FBS,FBS
fixed_prior_75_25,0.75,2020,3,401212522,Navy,Tulane,0.07890309140753078,0.1322985468664005,-0.32870932140801035,0.5463460597879173,,,,,0.5679815163794366,2.164500681068033,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,28.509269492772074,-3.0,31.509269492772074,31.509269492772074,,,,fixed_prior_blend,fixed_prior_blend,FBS,FBS,FBS
current_production,,2020,3,401215302,Texas State,UL Monroe,-0.025770104010645896,0.3433760027582487,0.1278782041800309,0.20807893947828332,,,,,-0.28894537147064214,-1.0776747573070184,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,-7.774546066753817,-21.0,13.225453933246182,13.225453933246182,,,,current_production,current_production,FBS,FBS,FBS
fixed_prior_25_75,0.25,2020,3,401215302,Texas State,UL Monroe,-0.025770104010645896,0.3433760027582487,0.1278782041800309,0.20807893947828332,,,,,0.02402934883584454,0.10646237900783588,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,5.4773628036579005,-21.0,26.4773628036579,26.4773628036579,,,,fixed_prior_blend,fixed_prior_blend,FBS,FBS,FBS
fixed_prior_50_50,0.5,2020,3,401215302,Texas State,UL Monroe,-0.025770104010645896,0.3433760027582487,0.1278782041800309,0.20807893947828332,,,,,-0.08029555793298439,-0.2882499997637823,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,1.0600598468539935,-21.0,22.060059846853992,22.060059846853992,,,,fixed_prior_blend,fixed_prior_blend,FBS,FBS,FBS
fixed_prior_75_25,0.75,2020,3,401215302,Texas State,UL Monroe,-0.025770104010645896,0.3433760027582487,0.1278782041800309,0.20807893947828332,,,,,-0.18462046470181329,-0.6829623785354004,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,-3.3572431099499127,-21.0,17.642756890050087,17.642756890050087,,,,fixed_prior_blend,fixed_prior_blend,FBS,FBS,FBS
current_production,,2020,3,401234569,Miami,Louisville,0.3545534897905886,-0.060417736461287036,0.335669889330992,0.05657090474489921,,,,,0.13587224166578288,0.5296189927532543,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,10.212990723172167,-13.0,23.21299072317217,23.21299072317217,,,,current_production,current_production,FBS,FBS,FBS
fixed_prior_25_75,0.25,2020,3,401234569,Miami,Louisville,0.3545534897905886,-0.060417736461287036,0.335669889330992,0.05657090474489921,,,,,0.037230799336628706,0.15640995233226476,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,6.036335805765947,-13.0,19.036335805765948,19.036335805765948,,,,fixed_prior_blend,fixed_prior_blend,FBS,FBS,FBS
fixed_prior_50_50,0.5,2020,3,401234569,Miami,Louisville,0.3545534897905886,-0.060417736461287036,0.335669889330992,0.05657090474489921,,,,,0.07011128011301346,0.28081296580592807,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,7.428554111568022,-13.0,20.428554111568022,20.428554111568022,,,,fixed_prior_blend,fixed_prior_blend,FBS,FBS,FBS
fixed_prior_75_25,0.75,2020,3,401234569,Miami,Louisville,0.3545534897905886,-0.060417736461287036,0.335669889330992,0.05657090474489921,,,,,0.1029917608893981,0.4052159792795909,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,8.82077241737009,-13.0,21.82077241737009,21.82077241737009,,,,fixed_prior_blend,fixed_prior_blend,FBS,FBS,FBS
current_production,,2020,3,401234571,Syracuse,Pittsburgh,0.8231641895908272,-0.11094772650590712,-0.221887630568427,0.3916056325120798,,,,,1.547605179177241,5.870898301922839,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,69.98828573402848,11.0,58.98828573402848,58.98828573402848,,,,current_production,current_production,unknown,FBS,unknown
fixed_prior_25_75,0.25,2020,3,401234571,Syracuse,Pittsburgh,0.8231641895908272,-0.11094772650590712,-0.221887630568427,0.3916056325120798,,,,,0.4967752259053335,1.8950922994356822,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,25.494267925109284,11.0,14.494267925109284,14.494267925109284,,,,fixed_prior_blend,fixed_prior_blend,unknown,FBS,unknown
fixed_prior_50_50,0.5,2020,3,401234571,Syracuse,Pittsburgh,0.8231641895908272,-0.11094772650590712,-0.221887630568427,0.3916056325120798,,,,,0.8470518769959694,3.2203609669314015,-0.004109312026389445,0.26430614386480045,4.459917239121212,42.341786766146875,40.32560719474902,11.0,29.32560719474902,29.32560719474902,,,,fixed_prior_blend,fixed_prior_blend,unknown,FBS,unknown
