Away Team,Home Team,Spread,Game Date,Game Time,Total,SplashSports Game ID,Notes
UMass,Rutgers,-29.5,2026-09-03,5:00 PM,51.5,,
Akron,Wake Forest,-24.5,2026-09-03,6:00 PM,48.5,,
Colorado,Georgia Tech,-6.5,2026-09-03,7:00 PM,50.5,,
UAB,Illinois,-27.5,2026-09-03,8:00 PM,54.5,,
San Jose State,Eastern Michigan,-3.5,2026-09-04,5:30 PM,55.5,,
UTEP,Oklahoma,-41.5,2026-09-04,7:00 PM,51.5,,
Toledo,Michigan State,-9.5,2026-09-04,7:00 PM,46.5,,
Fresno State,USC,-21.5,2026-09-04,8:00 PM,51.5,,
Miami (FL),Stanford,24.5,2026-09-04,8:00 PM,47.5,,
North Texas,Indiana,-40.5,2026-09-05,11:00 AM,55.5,,
Coastal Carolina,West Virginia,-20.5,2026-09-05,11:00 AM,56.5,,
Ohio,Nebraska,-23.5,2026-09-05,11:00 AM,46.5,,
Oregon State,Houston,-20.5,2026-09-05,11:00 AM,49.5,,
East Carolina,Alabama,-27.5,2026-09-05,11:00 AM,52.5,,
Liberty,James Madison,-6.5,2026-09-05,11:00 AM,50.5,,
Miami (OH),Pittsburgh,-16.5,2026-09-05,11:30 AM,48.5,,
Ball State,Ohio State,-50.5,2026-09-05,11:30 AM,56.5,,
Kent State,South Carolina,-36.5,2026-09-05,11:45 AM,53.5,,
Marshall,Penn State,-23.5,2026-09-05,2:30 PM,52.5,,
Boston College,Cincinnati,-7.5,2026-09-05,2:30 PM,49.5,,
Texas State,Texas,-29.5,2026-09-05,2:30 PM,59.5,,
Boise State,Oregon,-24.5,2026-09-05,2:30 PM,51.5,,
Tulane,Duke,-7.5,2026-09-05,2:30 PM,51.5,,
Baylor,Auburn,-7.5,2026-09-05,2:30 PM,59.5,,
Oklahoma State,Tulsa,13.5,2026-09-05,2:45 PM,59.5,,
Northern Illinois,Iowa,-31.5,2026-09-05,3:15 PM,44.5,,
Wyoming,Colorado State,-2.5,2026-09-05,5:00 PM,46.5,,
Florida International,South Florida,-13.5,2026-09-05,6:00 PM,51.5,,
Sam Houston,Troy,-16.5,2026-09-05,6:00 PM,53.5,,
Missouri State,Texas A&M,-40.5,2026-09-05,6:00 PM,53.5,,
Arkansas State,Memphis,-11.5,2026-09-05,6:00 PM,51.5,,
Clemson,LSU,-10.5,2026-09-05,6:30 PM,50.5,,
Louisiana-Monroe,Mississippi State,-28.5,2026-09-05,6:30 PM,54.5,,
Western Michigan,Michigan,-27.5,2026-09-05,6:30 PM,48.5,,
Florida Atlantic,Florida,-26.5,2026-09-05,6:45 PM,59.5,,
Central Michigan,New Mexico,-10.5,2026-09-05,9:00 PM,46.5,,
UNLV,Hawai'i,3.5,2026-09-05,9:00 PM,56.5,,
UCLA,California,1.5,2026-09-05,9:30 PM,53.5,,
Western Kentucky,Nevada,2.5,2026-09-05,9:30 PM,52.5,,
Washington State,Washington,-23.5,2026-09-06,3:00 PM,51.5,,
Wisconsin,Notre Dame,-20.5,2026-09-06,6:30 PM,47.5,,
Louisville,Ole Miss,-6.5,2026-09-06,6:30 PM,55.5,,
SMU,Florida State,3.5,2026-09-07,6:30 PM,53.5,,Tiebreaker game - predict combined total score
