game_id,season,week,game_date,start_time,away_team,home_team,away_spread,home_spread,locked_total,favorite,favorite_line,underdog,source,locked_at,source_image,lock_status
2026_W02_01,2026,2,2026-09-11,6:30 PM,Rutgers,Boston College,3.5,-3.5,54.5,Boston College,-3.5,Rutgers,SplashSports,2026-09-09 08:39 CDT,Screenshot 1,LOCKED
2026_W02_02,2026,2,2026-09-11,7:00 PM,Missouri,Kansas,-5.5,5.5,50.5,Missouri,-5.5,Kansas,SplashSports,2026-09-09 08:39 CDT,Screenshot 1,LOCKED
2026_W02_03,2026,2,2026-09-12,11:00 AM,Oklahoma,Michigan,-5.5,5.5,43.5,Oklahoma,-5.5,Michigan,SplashSports,2026-09-09 08:39 CDT,Screenshot 1,LOCKED
2026_W02_04,2026,2,2026-09-12,11:00 AM,Old Dominion,Virginia Tech,19.5,-19.5,49.5,Virginia Tech,-19.5,Old Dominion,SplashSports,2026-09-09 08:39 CDT,Screenshot 1,LOCKED
2026_W02_05,2026,2,2026-09-12,11:00 AM,Washington State,Kansas State,18.5,-18.5,48.5,Kansas State,-18.5,Washington State,SplashSports,2026-09-09 08:39 CDT,Screenshot 1,LOCKED
2026_W02_06,2026,2,2026-09-12,11:00 AM,Oregon,Oklahoma State,-22.5,22.5,57.5,Oregon,-22.5,Oklahoma State,SplashSports,2026-09-09 08:39 CDT,Screenshot 1,LOCKED
2026_W02_07,2026,2,2026-09-12,11:00 AM,Appalachian State,East Carolina,7.5,-7.5,56.5,East Carolina,-7.5,Appalachian State,SplashSports,2026-09-09 08:39 CDT,Screenshot 1,LOCKED
2026_W02_08,2026,2,2026-09-12,11:00 AM,Arizona State,Texas A&M,14.5,-14.5,49.5,Texas A&M,-14.5,Arizona State,SplashSports,2026-09-09 08:39 CDT,Screenshot 1,LOCKED
2026_W02_09,2026,2,2026-09-12,11:00 AM,Wake Forest,Purdue,-2.5,2.5,49.5,Wake Forest,-2.5,Purdue,SplashSports,2026-09-09 08:39 CDT,Screenshot 1,LOCKED
2026_W02_10,2026,2,2026-09-12,11:00 AM,South Florida,Army,3.5,-3.5,46.5,Army,-3.5,South Florida,SplashSports,2026-09-09 08:39 CDT,Screenshot 1,LOCKED
2026_W02_11,2026,2,2026-09-12,11:00 AM,Penn State,Temple,-23.5,23.5,49.5,Penn State,-23.5,Temple,SplashSports,2026-09-09 08:39 CDT,Screenshot 1,LOCKED
2026_W02_12,2026,2,2026-09-12,11:45 AM,Western Kentucky,Georgia,40.5,-40.5,55.5,Georgia,-40.5,Western Kentucky,SplashSports,2026-09-09 08:39 CDT,Screenshot 2,LOCKED
2026_W02_13,2026,2,2026-09-12,2:30 PM,Mississippi State,Minnesota,1.5,-1.5,55.5,Minnesota,-1.5,Mississippi State,SplashSports,2026-09-09 08:39 CDT,Screenshot 2,LOCKED
2026_W02_14,2026,2,2026-09-12,2:30 PM,Maryland,UConn,-12.5,12.5,52.5,Maryland,-12.5,UConn,SplashSports,2026-09-09 08:39 CDT,Screenshot 2,LOCKED
2026_W02_15,2026,2,2026-09-12,2:30 PM,Eastern Michigan,Michigan State,17.5,-17.5,48.5,Michigan State,-17.5,Eastern Michigan,SplashSports,2026-09-09 08:39 CDT,Screenshot 2,LOCKED
2026_W02_16,2026,2,2026-09-12,2:30 PM,UCF,Pittsburgh,7.5,-7.5,57.5,Pittsburgh,-7.5,UCF,SplashSports,2026-09-09 08:39 CDT,Screenshot 2,LOCKED
2026_W02_17,2026,2,2026-09-12,2:30 PM,Arizona,BYU,7.5,-7.5,48.5,BYU,-7.5,Arizona,SplashSports,2026-09-09 08:39 CDT,Screenshot 2,LOCKED
2026_W02_18,2026,2,2026-09-12,2:30 PM,California,Syracuse,3.5,-3.5,56.5,Syracuse,-3.5,California,SplashSports,2026-09-09 08:39 CDT,Screenshot 2,LOCKED
2026_W02_19,2026,2,2026-09-12,2:30 PM,Louisiana-Monroe,UAB,9.5,-9.5,55.5,UAB,-9.5,Louisiana-Monroe,SplashSports,2026-09-09 08:39 CDT,Screenshot 2,LOCKED
